h5_file,scenario_year,scenario_label,node,carrier,carrier_class,annual_import,annual_export,import_cost,export_revenue,net_cost
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL3,syngas,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,CO2,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,CO2captured,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,HBfeed,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,MPW,MPW,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,ammonia,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,biomass,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,crackergas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,cracking_byproducts,Chemical products,0.0,2244431.4013206162,0.0,1326458958.1804843,-1326458958.1804843
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,electricity,Electricity,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,electricity_grid,Electricity,948980.6354076348,0.0,87070363.32236944,0.0,87070363.32236944
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,ethylene,Chemical products,0.0,760107.850330154,0.0,7601.078503301539,-7601.078503301539
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,feedgas,Fossil feedstock,0.0,967131.3279530446,0.0,497395641.9662509,-497395641.9662509
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,hydrogen,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,hydrogen_transported,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,methane,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,methane_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,methanol,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,naphtha,Fossil feedstock,5722670.579603815,0.0,4188994864.269992,0.0,4188994864.269992
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,naphtha_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,nitrogen,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,olefins,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,propylene,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,steam,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2020\optimization_results.h5,2020,Today,NL4,syngas,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,CO2,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,CO2captured,CO2,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,HBfeed,Other carriers,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,MPW,MPW,98000.00000000003,0.0,30478000.00000001,0.0,30478000.00000001
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,ammonia,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,biomass,Bio feedstock,215331.77419354836,0.0,7118874.176203949,0.0,7118874.176203949
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,crackergas,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,cracking_byproducts,Chemical products,0.0,2485413.639711724,0.0,1468879461.0696292,-1468879461.0696292
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,electricity,Electricity,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,electricity_grid,Electricity,2089219.5259270498,0.0,188044457.29427978,0.0,188044457.29427978
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,ethylene,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,feedgas,Fossil feedstock,0.0,593750.0499002151,0.0,204264860.9169215,-204264860.9169215
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,hydrogen,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,hydrogen_transported,Hydrogen,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,methane,Fossil feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,methane_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,methanol,Chemical products,0.0,0.0,0.0,0.0,0.0
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,naphtha,Fossil feedstock,6337107.69941796,0.0,4638762835.973948,0.0,4638762835.973948
output\base_case_5_dd\2025\optimization_results.h5,2025,Today opt.,BEL1,naphtha_bio,Bio feedstock,0.0,0.0,0.0,0.0,0.0
