Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-10-30 21:00:00;0;1000000;1000000;122.67;0.01;0.0;0.0;0.0
2022-10-30 22:00:00;0;1000000;1000000;115.34;0.01;0.0;0.0;0.0
2022-10-30 23:00:00;0;1000000;1000000;112.37;0.01;0.0;0.0;0.0
2022-10-31 00:00:00;0;1000000;1000000;105.16;0.01;0.0;0.0;0.0
2022-10-31 01:00:00;0;1000000;1000000;98.51;0.01;0.0;0.0;0.0
2022-10-31 02:00:00;0;1000000;1000000;96.58;0.01;0.0;0.0;0.0
2022-10-31 03:00:00;0;1000000;1000000;94.81;0.01;0.0;0.0;0.0
2022-10-31 04:00:00;0;1000000;1000000;98.03;0.01;0.0;0.0;0.0
2022-10-31 05:00:00;0;1000000;1000000;102.34;0.01;0.0;0.0;0.0
2022-10-31 06:00:00;0;1000000;1000000;121.15;0.01;0.0;0.0;0.0
2022-10-31 07:00:00;0;1000000;1000000;135.53;0.01;0.0;0.0;0.0
2022-10-31 08:00:00;0;1000000;1000000;133.47;0.01;0.0;0.0;0.0
2022-10-31 09:00:00;0;1000000;1000000;123.28;0.01;0.0;0.0;0.0
2022-10-31 10:00:00;0;1000000;1000000;105.14;0.01;0.0;0.0;0.0
2022-10-31 11:00:00;0;1000000;1000000;98.05;0.01;0.0;0.0;0.0
2022-10-31 12:00:00;0;1000000;1000000;88.91;0.01;0.0;0.0;0.0
2022-10-31 13:00:00;0;1000000;1000000;92.55;0.01;0.0;0.0;0.0
2022-10-31 14:00:00;0;1000000;1000000;99.38;0.01;0.0;0.0;0.0
2022-10-31 15:00:00;0;1000000;1000000;111.5;0.01;0.0;0.0;0.0
2022-10-31 16:00:00;0;1000000;1000000;123.17;0.01;0.0;0.0;0.0
2022-10-31 17:00:00;0;1000000;1000000;129.0;0.01;0.0;0.0;0.0
2022-10-31 18:00:00;0;1000000;1000000;128.41;0.01;0.0;0.0;0.0
2022-10-31 19:00:00;0;1000000;1000000;117.84;0.01;0.0;0.0;0.0
2022-10-31 20:00:00;0;1000000;1000000;105.8;0.01;0.0;0.0;0.0
2022-10-31 21:00:00;0;1000000;1000000;85.34;0.01;0.0;0.0;0.0
2022-10-31 22:00:00;0;1000000;1000000;80.44;0.01;0.0;0.0;0.0
2022-10-31 23:00:00;0;1000000;1000000;64.56;0.01;0.0;0.0;0.0
2022-11-01 00:00:00;0;1000000;1000000;63.34;0.01;0.0;0.0;0.0
2022-11-01 01:00:00;0;1000000;1000000;62.95;0.01;0.0;0.0;0.0
2022-11-01 02:00:00;0;1000000;1000000;57.1;0.01;0.0;0.0;0.0
2022-11-01 03:00:00;0;1000000;1000000;54.54;0.01;0.0;0.0;0.0
2022-11-01 04:00:00;0;1000000;1000000;56.99;0.01;0.0;0.0;0.0
2022-11-01 05:00:00;0;1000000;1000000;63.21;0.01;0.0;0.0;0.0
2022-11-01 06:00:00;0;1000000;1000000;69.68;0.01;0.0;0.0;0.0
2022-11-01 07:00:00;0;1000000;1000000;70.35;0.01;0.0;0.0;0.0
2022-11-01 08:00:00;0;1000000;1000000;64.18;0.01;0.0;0.0;0.0
2022-11-01 09:00:00;0;1000000;1000000;61.2;0.01;0.0;0.0;0.0
2022-11-01 10:00:00;0;1000000;1000000;55.01;0.01;0.0;0.0;0.0
2022-11-01 11:00:00;0;1000000;1000000;32.04;0.01;0.0;0.0;0.0
2022-11-01 12:00:00;0;1000000;1000000;29.49;0.01;0.0;0.0;0.0
2022-11-01 13:00:00;0;1000000;1000000;34.9;0.01;0.0;0.0;0.0
2022-11-01 14:00:00;0;1000000;1000000;63.83;0.01;0.0;0.0;0.0
2022-11-01 15:00:00;0;1000000;1000000;89.33;0.01;0.0;0.0;0.0
2022-11-01 16:00:00;0;1000000;1000000;115.98;0.01;0.0;0.0;0.0
2022-11-01 17:00:00;0;1000000;1000000;119.87;0.01;0.0;0.0;0.0
2022-11-01 18:00:00;0;1000000;1000000;117.97;0.01;0.0;0.0;0.0
2022-11-01 19:00:00;0;1000000;1000000;117.59;0.01;0.0;0.0;0.0
2022-11-01 20:00:00;0;1000000;1000000;113.2;0.01;0.0;0.0;0.0
2022-11-01 21:00:00;0;1000000;1000000;104.64;0.01;0.0;0.0;0.0
2022-11-01 22:00:00;0;1000000;1000000;98.41;0.01;0.0;0.0;0.0
2022-11-01 23:00:00;0;1000000;1000000;85.64;0.01;0.0;0.0;0.0
2022-11-02 00:00:00;0;1000000;1000000;95.75;0.01;0.0;0.0;0.0
2022-11-02 01:00:00;0;1000000;1000000;91.31;0.01;0.0;0.0;0.0
2022-11-02 02:00:00;0;1000000;1000000;88.76;0.01;0.0;0.0;0.0
2022-11-02 03:00:00;0;1000000;1000000;86.0;0.01;0.0;0.0;0.0
2022-11-02 04:00:00;0;1000000;1000000;86.85;0.01;0.0;0.0;0.0
2022-11-02 05:00:00;0;1000000;1000000;92.13;0.01;0.0;0.0;0.0
2022-11-02 06:00:00;0;1000000;1000000;96.97;0.01;0.0;0.0;0.0
2022-11-02 07:00:00;0;1000000;1000000;100.11;0.01;0.0;0.0;0.0
2022-11-02 08:00:00;0;1000000;1000000;101.16;0.01;0.0;0.0;0.0
2022-11-02 09:00:00;0;1000000;1000000;109.64;0.01;0.0;0.0;0.0
2022-11-02 10:00:00;0;1000000;1000000;91.19;0.01;0.0;0.0;0.0
2022-11-02 11:00:00;0;1000000;1000000;94.44;0.01;0.0;0.0;0.0
2022-11-02 12:00:00;0;1000000;1000000;88.68;0.01;0.0;0.0;0.0
2022-11-02 13:00:00;0;1000000;1000000;91.51;0.01;0.0;0.0;0.0
2022-11-02 14:00:00;0;1000000;1000000;103.42;0.01;0.0;0.0;0.0
2022-11-02 15:00:00;0;1000000;1000000;122.3;0.01;0.0;0.0;0.0
2022-11-02 16:00:00;0;1000000;1000000;137.61;0.01;0.0;0.0;0.0
2022-11-02 17:00:00;0;1000000;1000000;158.56;0.01;0.0;0.0;0.0
