Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production,Demand,Import limit,Export limit,Import price,Export price
2022-06-04 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,43.4,0.01
2022-06-04 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,57.09,0.01
2022-06-04 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,86.2,0.01
2022-06-04 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,94.0,0.01
2022-06-04 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,105.0,0.01
2022-06-04 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,112.77,0.01
2022-06-04 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,96.62,0.01
2022-06-04 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,70.01,0.01
2022-06-05 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,57.48,0.01
2022-06-05 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,45.01,0.01
2022-06-05 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,45.67,0.01
2022-06-05 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,48.36,0.01
2022-06-05 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,48.66,0.01
2022-06-05 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,67.26,0.01
2022-06-05 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,92.44,0.01
2022-06-05 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,121.22,0.01
2022-06-05 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,99.22,0.01
2022-06-05 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,73.44,0.01
2022-06-05 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,56.64,0.01
2022-06-05 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,45.83,0.01
2022-06-05 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,37.54,0.01
2022-06-05 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,24.26,0.01
2022-06-05 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,20.93,0.01
2022-06-05 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,25.0,0.01
2022-06-05 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,49.56,0.01
2022-06-05 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,67.36,0.01
2022-06-05 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,93.76,0.01
2022-06-05 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,118.48,0.01
2022-06-05 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,140.28,0.01
2022-06-05 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,144.45,0.01
2022-06-05 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,131.54,0.01
2022-06-05 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,103.65,0.01
2022-06-06 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,87.18,0.01
2022-06-06 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,80.6,0.01
2022-06-06 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,76.92,0.01
2022-06-06 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,74.65,0.01
2022-06-06 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,79.83,0.01
2022-06-06 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,89.31,0.01
2022-06-06 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,112.0,0.01
2022-06-06 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,117.3,0.01
2022-06-06 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,96.83,0.01
2022-06-06 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,71.24,0.01
2022-06-06 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,57.8,0.01
2022-06-06 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,30.3,0.01
2022-06-06 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,25.2,0.01
2022-06-06 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,19.67,0.01
2022-06-06 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,20.93,0.01
2022-06-06 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,30.98,0.01
2022-06-06 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,53.75,0.01
2022-06-06 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,74.62,0.01
2022-06-06 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,89.92,0.01
2022-06-06 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,111.5,0.01
2022-06-06 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,148.44,0.01
2022-06-06 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,150.02,0.01
2022-06-06 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,123.77,0.01
2022-06-06 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,100.0,0.01
2022-06-07 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,97.72,0.01
2022-06-07 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,93.11,0.01
2022-06-07 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,91.0,0.01
2022-06-07 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,90.09,0.01
2022-06-07 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,90.11,0.01
2022-06-07 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,86.04,0.01
2022-06-07 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,107.96,0.01
2022-06-07 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,109.36,0.01
2022-06-07 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,98.6,0.01
2022-06-07 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,77.4,0.01
2022-06-07 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,58.56,0.01
2022-06-07 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,41.39,0.01
2022-06-07 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,33.91,0.01
2022-06-07 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,25.36,0.01
2022-06-07 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,17.41,0.01
2022-06-07 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,14.1,0.01
2022-06-07 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,26.0,0.01
2022-06-07 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,60.09,0.01
2022-06-07 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,81.13,0.01
2022-06-07 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,102.0,0.01
2022-06-07 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,119.67,0.01
2022-06-07 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,133.87,0.01
2022-06-07 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,112.69,0.01
2022-06-07 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,90.0,0.01
2022-06-08 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,94.35,0.01
2022-06-08 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,81.15,0.01
2022-06-08 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,74.02,0.01
2022-06-08 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,72.58,0.01
2022-06-08 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,67.07,0.01
2022-06-08 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,69.25,0.01
2022-06-08 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,68.75,0.01
2022-06-08 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,53.53,0.01
2022-06-08 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,38.6,0.01
2022-06-08 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,12.46,0.01
2022-06-08 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
2022-06-08 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
2022-06-08 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
2022-06-08 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
2022-06-08 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
2022-06-08 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
2022-06-08 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,0.01,0.01
2022-06-08 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1,1000000,1000000,2.0,0.01
